"","dec.attractor","label"
"519",277186688,"M2c"
"520",8751232,"M2c"
"521",278235264,"M2c"
"522",9799808,"M2c"
"523",412452992,"M2c"
"524",144017536,"M2c"
"525",446007424,"M2c"
"526",177571968,"M2c"
"527",311789696,"M2c"
"528",43354240,"M2c"
"529",378912384,"M2a"
"530",110476928,"M2a"
"531",513130112,"M2a"
"532",244694656,"M2a"
"533",479575680,"M2a"
"534",211140224,"M2a"
"535",345357952,"M2a"
"536",76922496,"M2a"
"537",344309376,"M2a"
"538",75873920,"M2a"
"539",478527104,"M2a"
"540",210091648,"M2a"
"541",512081536,"M2a"
"542",243646080,"M2a"
"543",377863808,"M2a"
"544",109428352,"M2a"
"545",378388096,"M2a"
"546",109952640,"M2a"
"547",512605824,"M2a"
"548",244170368,"M2a"
"549",479051392,"M2a"
"550",210615936,"M2a"
"551",344833664,"M2a"
"552",76398208,"M2a"
"553",345882240,"M2a"
"554",77446784,"M2a"
"555",480099968,"M2a"
"556",211664512,"M2a"
"557",513654400,"M2a"
"558",245218944,"M2a"
"559",379436672,"M2a"
"560",111001216,"M2a"
"561",396213952,"NoLabel"
"562",127778496,"NoLabel"
"563",530431680,"NoLabel"
"564",261996224,"NoLabel"
"565",496877248,"NoLabel"
"566",228441792,"NoLabel"
"567",362659520,"NoLabel"
"568",94224064,"NoLabel"
"569",361610944,"NoLabel"
"570",93175488,"NoLabel"
"571",495828672,"NoLabel"
"572",227393216,"NoLabel"
"573",529383104,"NoLabel"
"574",260947648,"NoLabel"
"575",395165376,"NoLabel"
"576",126729920,"NoLabel"
"577",394641088,"NoLabel"
"578",126205632,"NoLabel"
"579",528858816,"NoLabel"
"580",260423360,"NoLabel"
"581",495304384,"NoLabel"
"582",226868928,"NoLabel"
"583",361086656,"NoLabel"
"584",92651200,"NoLabel"
"585",362135232,"NoLabel"
"586",93699776,"NoLabel"
"587",496352960,"NoLabel"
"588",227917504,"NoLabel"
"589",529907392,"NoLabel"
"590",261471936,"NoLabel"
"591",395689664,"NoLabel"
"592",127254208,"NoLabel"
"593",328566976,"M2d"
"594",60131520,"M2d"
"595",462784704,"M2d"
"596",194349248,"M2d"
"597",429230272,"M2d"
"598",160794816,"M2d"
"599",295012544,"M2d"
"600",26577088,"M2d"
"601",293963968,"M2d"
"602",25528512,"M2d"
"603",428181696,"M2d"
"604",159746240,"M2d"
"605",461736128,"M2d"
"606",193300672,"M2d"
"607",327518400,"M2d"
"608",59082944,"M2d"
"609",330140101,"NoLabel"
"610",61704645,"NoLabel"
"611",464357829,"NoLabel"
"612",195922373,"NoLabel"
"613",465406405,"NoLabel"
"614",196970949,"NoLabel"
"615",331188677,"NoLabel"
"616",62753221,"NoLabel"
"617",331188421,"M2d"
"618",62752965,"M2d"
"619",465406149,"M2d"
"620",196970693,"M2d"
"621",431851717,"M2d"
"622",163416261,"M2d"
"623",297633989,"M2d"
"624",29198533,"M2d"
"625",296585413,"M2d"
"626",28149957,"M2d"
"627",430803141,"M2d"
"628",162367685,"M2d"
"629",464357573,"M2d"
"630",195922117,"M2d"
"631",330139845,"M2d"
"632",61704389,"M2d"
"633",304973829,"M2c"
"634",36538373,"M2c"
"635",439191557,"M2c"
"636",170756101,"M2c"
"637",405637125,"M2c"
"638",137201669,"M2c"
"639",271419397,"M2c"
"640",2983941,"M2c"
"641",288196613,"M2c"
"642",19761157,"M2c"
"643",422414341,"M2c"
"644",153978885,"M2c"
"645",455968773,"M2c"
"646",187533317,"M2c"
"647",321751045,"M2c"
"648",53315589,"M2c"
"649",322799621,"M2c"
"650",54364165,"M2c"
"651",457017349,"M2c"
"652",188581893,"M2c"
"653",423462917,"M2c"
"654",155027461,"M2c"
"655",289245189,"M2c"
"656",20809733,"M2c"
"657",272467973,"M2c"
"658",4032517,"M2c"
"659",406685701,"M2c"
"660",138250245,"M2c"
"661",440240133,"M2c"
"662",171804677,"M2c"
"663",306022405,"M2c"
"664",37586949,"M2c"
"665",314411141,"M2c"
"666",45975685,"M2c"
"667",448628869,"M2c"
"668",180193413,"M2c"
"669",415074437,"M2c"
"670",146638981,"M2c"
"671",280856709,"M2c"
"672",12421253,"M2c"
"673",279808133,"M2c"
"674",11372677,"M2c"
"675",414025861,"M2c"
"676",145590405,"M2c"
"677",447580293,"M2c"
"678",179144837,"M2c"
"679",313362565,"M2c"
"680",44927109,"M2c"
"681",313362821,"M2b"
"682",44927365,"M2b"
"683",447580549,"M2b"
"684",179145093,"M2b"
"685",448629125,"M2b"
"686",180193669,"M2b"
"687",314411397,"M2b"
"688",45975941,"M2b"
"689",322799877,"M2b"
"690",54364421,"M2b"
"691",457017605,"M2b"
"692",188582149,"M2b"
"693",440240389,"M2b"
"694",171804933,"M2b"
"695",306022661,"M2b"
"696",37587205,"M2b"
"697",304974085,"M2b"
"698",36538629,"M2b"
"699",439191813,"M2b"
"700",170756357,"M2b"
"701",455969029,"M2b"
"702",187533573,"M2b"
"703",321751301,"M2b"
"704",53315845,"M2b"
"705",329615556,"M2d"
"706",61180100,"M2d"
"707",463833284,"M2d"
"708",195397828,"M2d"
"709",430278852,"M2d"
"710",161843396,"M2d"
"711",296061124,"M2d"
"712",27625668,"M2d"
"713",297109700,"M2d"
"714",28674244,"M2d"
"715",431327428,"M2d"
"716",162891972,"M2d"
"717",464881860,"M2d"
"718",196446404,"M2d"
"719",330664132,"M2d"
"720",62228676,"M2d"
"721",397786820,"NoLabel"
"722",129351364,"NoLabel"
"723",532004548,"NoLabel"
"724",263569092,"NoLabel"
"725",498450116,"NoLabel"
"726",230014660,"NoLabel"
"727",364232388,"NoLabel"
"728",95796932,"NoLabel"
"729",363183812,"NoLabel"
"730",94748356,"NoLabel"
"731",497401540,"NoLabel"
"732",228966084,"NoLabel"
"733",530955972,"NoLabel"
"734",262520516,"NoLabel"
"735",396738244,"NoLabel"
"736",128302788,"NoLabel"
"737",397262532,"NoLabel"
"738",128827076,"NoLabel"
"739",531480260,"NoLabel"
"740",263044804,"NoLabel"
"741",497925828,"NoLabel"
"742",229490372,"NoLabel"
"743",363708100,"NoLabel"
"744",95272644,"NoLabel"
"745",364756676,"NoLabel"
"746",96321220,"NoLabel"
"747",498974404,"NoLabel"
"748",230538948,"NoLabel"
"749",532528836,"NoLabel"
"750",264093380,"NoLabel"
"751",398311108,"NoLabel"
"752",129875652,"NoLabel"
"753",398311364,"NoLabel"
"754",129875908,"NoLabel"
"755",532529092,"NoLabel"
"756",264093636,"NoLabel"
"757",531480516,"NoLabel"
"758",263045060,"NoLabel"
"759",397262788,"NoLabel"
"760",128827332,"NoLabel"
"761",396738500,"NoLabel"
"762",128303044,"NoLabel"
"763",530956228,"NoLabel"
"764",262520772,"NoLabel"
"765",532004804,"NoLabel"
"766",263569348,"NoLabel"
"767",397787076,"NoLabel"
"768",129351620,"NoLabel"
"769",330664388,"NoLabel"
"770",62228932,"NoLabel"
"771",464882116,"NoLabel"
"772",196446660,"NoLabel"
"773",463833540,"NoLabel"
"774",195398084,"NoLabel"
"775",329615812,"NoLabel"
"776",61180356,"NoLabel"
"777",312838532,"M2b"
"778",44403076,"M2b"
"779",447056260,"M2b"
"780",178620804,"M2b"
"781",448104836,"M2b"
"782",179669380,"M2b"
"783",313887108,"M2b"
"784",45451652,"M2b"
"785",381009796,"NoLabel"
"786",112574340,"NoLabel"
"787",515227524,"NoLabel"
"788",246792068,"NoLabel"
"789",514178948,"NoLabel"
"790",245743492,"NoLabel"
"791",379961220,"NoLabel"
"792",111525764,"NoLabel"
"793",380485508,"NoLabel"
"794",112050052,"NoLabel"
"795",514703236,"NoLabel"
"796",246267780,"NoLabel"
"797",515751812,"NoLabel"
"798",247316356,"NoLabel"
"799",381534084,"NoLabel"
"800",113098628,"NoLabel"
"801",381533828,"M2a"
"802",113098372,"M2a"
"803",515751556,"M2a"
"804",247316100,"M2a"
"805",482197124,"M2a"
"806",213761668,"M2a"
"807",347979396,"M2a"
"808",79543940,"M2a"
"809",346930820,"M2a"
"810",78495364,"M2a"
"811",481148548,"M2a"
"812",212713092,"M2a"
"813",514702980,"M2a"
"814",246267524,"M2a"
"815",380485252,"M2a"
"816",112049796,"M2a"
"817",379960964,"M2a"
"818",111525508,"M2a"
"819",514178692,"M2a"
"820",245743236,"M2a"
"821",480624260,"M2a"
"822",212188804,"M2a"
"823",346406532,"M2a"
"824",77971076,"M2a"
"825",347455108,"M2a"
"826",79019652,"M2a"
"827",481672836,"M2a"
"828",213237380,"M2a"
"829",515227268,"M2a"
"830",246791812,"M2a"
"831",381009540,"M2a"
"832",112574084,"M2a"
"833",313886852,"M2c"
"834",45451396,"M2c"
"835",448104580,"M2c"
"836",179669124,"M2c"
"837",414550148,"M2c"
"838",146114692,"M2c"
"839",280332420,"M2c"
"840",11896964,"M2c"
"841",279283844,"M2c"
"842",10848388,"M2c"
"843",413501572,"M2c"
"844",145066116,"M2c"
"845",447056004,"M2c"
"846",178620548,"M2c"
"847",312838276,"M2c"
"848",44402820,"M2c"
"849",304449540,"M2c"
"850",36014084,"M2c"
"851",438667268,"M2c"
"852",170231812,"M2c"
"853",405112836,"M2c"
"854",136677380,"M2c"
"855",270895108,"M2c"
"856",2459652,"M2c"
"857",287672324,"M2c"
"858",19236868,"M2c"
"859",421890052,"M2c"
"860",153454596,"M2c"
"861",455444484,"M2c"
"862",187009028,"M2c"
"863",321226756,"M2c"
"864",52791300,"M2c"
"865",322275332,"M2c"
"866",53839876,"M2c"
"867",456493060,"M2c"
"868",188057604,"M2c"
"869",422938628,"M2c"
"870",154503172,"M2c"
"871",288720900,"M2c"
"872",20285444,"M2c"
"873",271943684,"M2c"
"874",3508228,"M2c"
"875",406161412,"M2c"
"876",137725956,"M2c"
"877",439715844,"M2c"
"878",171280388,"M2c"
"879",305498116,"M2c"
"880",37062660,"M2c"
"881",372620804,"M2a"
"882",104185348,"M2a"
"883",506838532,"M2a"
"884",238403076,"M2a"
"885",473284100,"M2a"
"886",204848644,"M2a"
"887",339066372,"M2a"
"888",70630916,"M2a"
"889",355843588,"M2a"
"890",87408132,"M2a"
"891",490061316,"M2a"
"892",221625860,"M2a"
"893",523615748,"M2a"
"894",255180292,"M2a"
"895",389398020,"M2a"
"896",120962564,"M2a"
"897",388349444,"M2a"
"898",119913988,"M2a"
"899",522567172,"M2a"
"900",254131716,"M2a"
